movie_Released,song_bpmHistogramFirstPeakBpmMean,song_danceability,movie_Runtime,movie_BoxOffice,song_bpmHistogramSecondPeakBpmMedian,song_tuningEqualTemperedDeviation,song_tuningFrequency,song_bpmHistogramSecondPeakBpmMean,song_bpm,song_bpmHistogramFirstPeakBpmMedian,song_mfccZeroMean,movie_imdbRating,song_onsetRate,movie_Genre,song_averageLoudness,song_dynamicComplexity
1993-06-15,111,1.08657511,115,149002612,107,0.20442893,436.64943578,107,110.4627114,105,-704.34186179,7.4,3.51676197,Action,0.75521892,5.09454825
1987-08-21,107,1.08100541,119,122825777,105,0.217604,437.57220809,111,107.03183464,107,-704.65494893,7.0,3.47788844,Drama,0.63295358,4.26812762
1986-06-01,110,1.12921482,108,114808688,107,0.21475348,438.90950014,108,108.64319469,109,-676.99040444,7.4,2.92575766,Drama,0.78416654,4.22001947
2000-12-23,110,1.13619493,112,124485062,116,0.09017518,435.34123165,107,108.0360786,103,-679.56983498,7.3,3.59744542,Drama,0.78284411,4.46726364
1990-06-25,109,1.06215955,119,107488541,108,0.20888152,439.69458945,103,108.40618641,103,-695.5090684,7.8,3.4809185,Action,0.62966691,4.26816159
1988-08-26,108,1.14119687,114,123993371,111,0.20837504,437.22565836,105,108.74463359,105,-686.09142914,7.5,3.51678866,Drama,0.80480276,4.27241434
1993-09-13,103,1.11779479,111,165485893,98,0.04687025,435.84509593,116,106.88479743,109,-678.07184197,7.2,2.9798487,Drama,0.68248017,5.32411655
1994-04-24,103,1.10595329,120,161181469,105,0.20326848,438.95388565,110,108.4747303,109,-676.09648478,7.3,3.12906815,Action,0.7740076,5.39477139
1987-12-25,107,1.1153543,119,107726953,105,0.13784111,437.17654081,116,110.95984867,106,-685.32791355,7.2,3.58381991,Action,0.76520693,5.1938086
1997-05-11,106,1.12305421,107,106637205,110,0.03950835,434.40996772,101,108.28688606,108,-675.27270821,7.8,3.21748884,Drama,0.8073891,4.24883294
2001-10-16,109,1.131874,119,120830276,107,0.05614896,436.99130904,109,108.71537647,103,-676.75359732,7.6,3.48839257,Drama,0.76627948,4.26609599
1993-02-03,104,1.12084128,113,120366608,110,0.03968402,439.77952648,115,104.28678585,105,-704.46852919,7.3,3.48770959,Drama,0.66148577,4.23406768
2001-02-03,109,1.12721481,109,152494612,105,0.05409359,435.48018941,104,108.53690519,104,-677.74937591,7.2,3.517248,Action,0.64266227,4.26867022
2001-03-11,109,1.10344562,106,105678968,105,0.2168026,438.73032726,106,108.91219746,103,-686.95253173,7.1,3.51654732,Action,0.73099772,5.15043433
2000-02-21,111,1.06687251,115,109767806,105,0.07545058,435.74840626,109,109.80649512,110,-678.5551411,7.4,3.40607701,Drama,0.81644051,4.83284203
2000-05-10,104,1.07258732,117,138871068,98,0.06318078,435.91804902,115,108.89628822,110,-675.99929095,7.1,3.51374717,Action,0.81403758,4.26562363
1998-06-15,104,1.0634104,112,107375464,110,0.13137521,436.16274417,109,108.86008997,106,-704.6276634,7.2,3.49958465,Drama,0.69510609,5.24766274
1990-07-14,108,1.1438054,107,155086361,116,0.05357761,435.24366562,104,109.64437153,111,-704.50007511,7.7,3.47866769,Drama,0.66538134,4.25284821
1990-11-02,107,1.10268656,117,109571405,111,0.21664921,436.15462447,98,108.00821243,107,-680.49876314,7.8,3.2153749,Drama,0.63410903,4.30740463
1986-02-10,112,1.1119689,109,114594626,109,0.20420484,434.73210425,112,103.87038791,108,-692.58011413,7.4,3.51669328,Drama,0.75952129,4.75856999
1992-07-25,106,1.11206994,109,128476139,107,0.20318175,439.94198294,115,108.24922416,108,-685.31765991,7.2,3.51633629,Drama,0.82002919,4.27171145
1994-11-23,106,1.07347639,120,118241667,111,0.08804821,439.47331015,104,109.22253344,103,-676.21915169,7.1,3.57426468,Action,0.80181847,4.27080374
1998-07-01,103,1.09796757,120,117609672,107,0.07606072,438.00131439,114,110.22249485,106,-679.04980492,7.6,3.49379284,Drama,0.70273955,4.38994391
1996-07-18,106,1.09367416,111,147515812,109,0.21053356,437.94566369,100,108.74420842,111,-686.65882495,7.6,3.09661491,Drama,0.8031948,5.06702848
1997-04-05,104,1.15063792,108,115635062,109,0.0491594,438.64026104,112,108.68783764,103,-688.16746131,7.4,3.51651308,Action,0.82303165,4.26886387
1996-12-02,106,1.07050127,113,118534947,106,0.05808848,438.52172137,116,108.52727331,111,-683.16715308,7.6,3.51189176,Drama,0.76370379,4.76260565
1985-11-12,103,1.14851658,106,115233941,113,0.05436103,438.88322208,101,109.96116157,108,-698.79692883,7.6,3.05384639,Drama,0.79063194,4.49639731
1990-11-22,104,1.10649428,113,114976725,109,0.20937081,435.94304757,103,109.97455631,105,-704.53960226,7.1,3.18481693,Drama,0.7992203,5.3402867
1991-11-12,110,1.14452523,114,152364413,100,0.05070809,437.14638088,109,106.93180879,109,-684.41366862,7.8,3.51619707,Drama,0.72757518,4.26066845
1999-09-27,105,1.10079053,119,120287992,113,0.04734731,434.77646611,103,106.12341595,105,-677.44973893,7.2,3.51649301,Drama,0.62758016,4.24504357
2000-06-01,103,1.12857758,119,124613442,110,0.11103487,436.90358326,101,108.52762066,110,-687.66334348,7.0,3.51736977,Action,0.79443738,4.23731521
1986-08-25,103,1.07036448,116,146103596,100,0.04000457,434.30247222,107,110.2729498,104,-679.5085228,7.2,3.51638419,Action,0.65072301,4.26416988
2002-09-01,109,1.06204793,115,105654834,108,0.2036445,438.22230858,102,104.29120965,108,-682.81412181,7.7,3.42560459,Action,0.74310495,4.21212976
1985-02-12,104,1.1450367,116,157972145,102,0.12960486,436.70490025,98,109.7504681,108,-694.00499209,7.6,3.48355194,Action,0.78054887,5.34779228
1986-04-19,107,1.07961326,119,107358496,107,0.04843116,435.00951098,106,104.0476266,110,-686.90678353,7.6,3.62553347,Drama,0.66215882,4.24544622
1990-08-10,110,1.08684825,119,141643142,113,0.20408361,437.07208774,116,104.62643459,104,-704.48474451,7.3,3.26864826,Drama,0.76022302,4.25473876
1992-07-18,107,1.0941415,111,112165942,98,0.21040904,435.40921936,107,108.7920328,105,-678.74875676,7.8,3.56243284,Action,0.75325561,4.26719787
2000-05-12,109,1.14265046,116,124239396,108,0.20968582,436.03876769,99,108.55626707,103,-682.94522307,7.6,2.92793952,Action,0.63725539,4.2517472
1985-02-09,109,1.11790055,114,119644789,98,0.20157122,437.64742628,110,109.68712981,111,-690.47657072,7.6,3.51201425,Action,0.82343004,4.24440486
1998-04-16,110,1.1044372,111,134270822,104,0.0481844,437.72975662,99,108.64315983,105,-676.32748723,7.6,2.96038946,Action,0.73561589,4.37897208
1986-12-25,109,1.14541842,107,134424607,99,0.05307674,439.7225714,112,109.40489945,103,-695.0178803,7.5,3.2927137,Action,0.70533188,4.26952031
1987-08-21,103,1.13206965,120,119513978,114,0.21058398,437.24515223,112,108.91981751,105,-676.81008994,7.5,3.48424099,Drama,0.80107348,5.19703214
1989-08-06,107,1.13010553,107,146336136,98,0.20401808,438.55859807,111,109.08890848,108,-678.72845378,7.2,2.99851025,Action,0.62179164,4.20753178
1997-04-03,107,1.11106416,106,119366084,101,0.20854226,438.43111562,116,110.41678434,105,-697.6938237,7.0,3.57651039,Drama,0.61596001,4.97213201
1987-11-09,104,1.07037753,107,112229064,102,0.20388519,437.58758321,106,107.84180052,103,-688.32638876,7.5,3.51378727,Drama,0.81632383,4.21440882
1989-11-21,108,1.14417534,117,120290568,110,0.2136397,439.62800058,102,108.93298004,103,-686.4561893,7.7,3.51752157,Drama,0.615849,4.23774608
1997-07-13,103,1.14606071,120,158333217,113,0.05684875,436.37692279,103,109.94557373,105,-704.47332026,7.7,3.48698975,Drama,0.63492185,5.40049925
1997-12-19,103,1.1425892,114,114265042,115,0.21278963,437.70347781,112,110.64184918,107,-688.06845943,7.7,3.51712991,Drama,0.78577861,4.41136367
1994-08-11,111,1.14508872,118,158467728,109,0.07370388,438.51060502,114,108.17397411,105,-679.13590402,7.5,3.51695665,Drama,0.67127503,4.26882839
1985-02-15,107,1.08062217,115,129553686,103,0.06005331,435.9429646,108,110.06168472,105,-701.86997398,7.3,3.5173823,Drama,0.70620266,4.27229753
1996-12-11,106,1.102081,117,141882609,100,0.0612093,436.43072092,108,105.68348129,107,-703.30983367,7.0,2.88948432,Action,0.78213867,5.40712569
1985-05-05,111,1.07176891,107,118800044,107,0.11869602,439.04638009,108,108.82282572,105,-692.39809571,7.8,3.51644745,Action,0.82261059,5.28073086
1993-12-02,112,1.06422138,112,117718112,110,0.17257008,437.80196576,101,109.06114746,112,-694.83979892,7.2,3.67388941,Drama,0.80353146,4.25610588
1990-11-10,109,1.06713617,115,164996506,109,0.05156543,438.43441746,108,107.99788799,103,-699.43801343,7.2,2.85519652,Drama,0.69857325,5.42504983
1985-08-04,104,1.12346733,114,106644388,114,0.050491,434.90580523,98,108.10622783,106,-676.60728441,7.5,3.5165448,Action,0.81886383,4.22120995
2000-12-23,103,1.09835157,106,115395797,112,0.04584142,437.85456224,113,109.49949368,104,-678.27922739,7.3,3.37438155,Drama,0.62108283,4.69459847
2000-02-04,104,1.08414262,113,153305364,101,0.15823987,438.30683465,103,108.70414181,105,-683.92110115,7.3,3.17080818,Drama,0.72749814,4.2629082
1985-12-25,107,1.06346063,113,152446626,107,0.16244887,439.40987422,100,105.82555503,104,-676.08558797,7.5,3.51647758,Action,0.61897607,5.18376575
1995-03-10,108,1.07232124,118,162471674,112,0.21680602,438.08049718,116,104.76287527,106,-677.50988441,7.7,3.65919764,Action,0.62481688,4.26964992
1996-08-16,110,1.09399349,114,157441414,116,0.05659548,437.72447794,116,108.5806923,104,-677.61664659,7.7,3.49345765,Drama,0.77881673,4.22427835
1988-09-09,104,1.15037591,111,124231729,100,0.20699009,434.48213306,99,108.30912345,108,-691.86490689,7.3,3.51726735,Drama,0.62585257,4.96135127
1987-07-08,105,1.12663277,112,145434078,109,0.05558246,439.03713594,115,110.75625702,103,-692.0518489,7.4,3.62510466,Drama,0.62127883,4.59395904
1996-03-06,105,1.06168734,110,151189343,102,0.21220868,438.46372295,105,106.39527889,106,-684.16023658,7.1,3.22360953,Action,0.78414767,4.26392084
2000-07-19,110,1.1347317,118,118112975,98,0.14866701,437.31946406,109,107.00238524,109,-682.35801242,7.5,3.51642952,Action,0.81071028,5.40906423
1988-10-23,107,1.1283948,115,163176290,99,0.04240312,434.65009695,104,108.9282542,105,-679.38428673,7.5,3.51703953,Drama,0.73638211,4.2637803
1997-12-19,103,1.06754202,113,114748733,98,0.20361622,435.17978483,106,108.9016145,108,-677.07714834,7.6,3.58882972,Drama,0.6352821,5.26503093
1990-02-28,105,1.09890723,117,127075387,106,0.20394887,438.9799076,100,108.87556513,111,-675.71084979,7.7,3.51713602,Action,0.75520302,4.92377588
1999-06-12,108,1.06483934,120,155187897,103,0.08938696,437.64207652,111,108.91713491,108,-675.68084357,7.1,3.52484286,Action,0.6285754,4.2416638
1988-02-12,105,1.13697498,116,118480600,103,0.04946523,438.29630248,98,105.18190975,104,-704.33298598,7.5,3.51748441,Action,0.70786845,5.28156962
1989-03-03,104,1.07211429,117,165798031,116,0.20364901,437.05700764,110,108.34138762,104,-704.46917286,7.0,3.04957101,Action,0.71208761,4.25623991
1988-09-02,107,1.07067384,117,138948529,103,0.12279022,438.90670746,101,108.04311321,105,-678.70808557,7.7,3.55714225,Action,0.75874784,4.2682963
1997-11-19,106,1.09847002,112,134868922,102,0.20396251,435.67839158,108,111.2148496,111,-691.68228154,7.2,3.52274495,Drama,0.82403163,4.20649154
1992-08-23,110,1.08777369,107,124555125,104,0.18689405,439.56127558,102,108.34136917,103,-675.36841501,7.8,2.96458971,Action,0.65837129,4.25483101
1999-07-21,108,1.11664602,120,111919398,98,0.214501,437.881865,102,110.90785285,109,-704.3896524,7.3,3.41132732,Drama,0.79650744,4.95797567
1998-12-13,108,1.08818113,114,116008205,99,0.05842236,439.30568415,103,109.99316639,108,-675.38926254,7.0,3.51729952,Drama,0.80499527,4.24765602
1988-08-27,106,1.0699241,107,140920845,115,0.20319595,437.17866007,111,109.98088554,107,-704.64438986,7.3,3.51745748,Action,0.64107274,4.21093601
1993-08-21,109,1.10378724,116,113454980,108,0.07477998,438.44696947,101,108.04013108,111,-676.96663345,7.3,3.50395907,Drama,0.78498108,4.2632262
1989-11-22,104,1.10509709,108,131306505,116,0.20456125,435.96194299,109,108.79813497,110,-704.59529403,7.1,3.51654409,Drama,0.62559497,4.23609375
1992-04-19,108,1.06966478,116,120871933,105,0.10644767,439.76070642,106,107.0656457,109,-687.86821635,7.7,3.4833615,Action,0.76876657,4.2424835
1998-06-21,104,1.11805268,113,109998660,114,0.05633709,435.0812992,116,111.23615583,108,-678.67292235,7.2,3.61219672,Action,0.78598172,4.25742892
1998-05-24,106,1.09415676,120,121408487,99,0.21727156,439.19073563,104,104.45139062,106,-691.37308926,7.4,3.51637256,Action,0.80452476,4.38865999
1987-07-19,103,1.11456859,118,120752142,99,0.04238266,435.10060887,115,108.93167367,105,-683.32592728,7.3,3.4854531,Drama,0.72413087,4.26574102
1999-03-20,104,1.08243954,120,124178671,111,0.04345429,434.6588032,116,108.87638035,109,-677.52800166,7.6,3.64216414,Action,0.64495528,4.22638933
1997-02-02,106,1.140474,116,153183094,117,0.20406833,439.18886046,115,107.0323497,109,-704.49612365,7.0,3.52001742,Action,0.67308936,4.26891526
1991-05-02,111,1.11693249,107,111744545,105,0.2072268,437.77863656,99,109.04049042,107,-704.62099047,7.8,3.51626702,Drama,0.72216191,4.24211966
1986-04-04,106,1.12978916,110,156886374,110,0.20361697,435.12194527,104,108.84348517,108,-700.46839593,7.3,3.49005867,Drama,0.64000212,4.26337344
1986-06-06,109,1.15060117,110,119560542,112,0.20366019,439.67935997,105,108.71367084,106,-675.45164365,7.2,3.51686368,Action,0.73820476,4.86961974
1989-05-19,108,1.11980609,106,158082552,98,0.06097269,435.38605513,109,108.89061983,109,-690.17858879,7.1,3.48547261,Drama,0.80363317,4.26806579
1991-03-19,111,1.14786417,109,120824503,102,0.05751952,435.34782252,98,107.63058633,109,-677.79454851,7.2,3.4729556,Action,0.8076691,4.76813956
1987-09-19,104,1.10856426,112,141985396,116,0.06184019,436.02875157,116,107.50013242,105,-692.12880517,7.3,3.51631874,Action,0.75386626,4.67815947
2001-05-03,104,1.08205158,114,119059306,111,0.204921,439.98192579,98,111.1607582,108,-704.51322763,7.3,3.04619277,Drama,0.77130349,4.23803598
2001-05-05,111,1.09795102,113,138217241,98,0.20401556,439.61984344,107,108.25370685,105,-694.72386125,7.2,3.48075604,Action,0.70510543,5.18620655
1986-05-12,107,1.12208706,106,165051459,117,0.20320657,438.21285756,113,107.99922586,106,-702.63648866,7.5,3.49007796,Drama,0.6186452,4.22784566
1991-06-07,105,1.14736584,114,120356004,101,0.05791549,436.19155482,113,104.58882667,110,-704.36545911,7.8,3.5061375,Action,0.8085484,4.23806125
1994-07-20,108,1.07275626,116,159599103,115,0.21730903,439.56803858,109,108.51593452,105,-681.15922268,7.5,3.5498637,Drama,0.68281944,4.26471012
1986-06-28,103,1.07852185,117,133412990,107,0.05799322,438.29105909,115,108.71478222,106,-679.75377385,7.1,2.86771501,Drama,0.70156566,4.2105754
1986-02-06,105,1.14481675,117,123766050,115,0.19645062,438.5759199,103,104.12296819,110,-704.30143092,7.8,3.51694276,Action,0.62015898,4.22985131
1995-06-24,103,1.14861868,106,112581423,100,0.20339096,438.82938066,112,109.96700631,105,-693.38184559,7.3,3.51205161,Action,0.69200286,4.26237583
1987-05-25,110,1.06115165,106,160124124,108,0.04407299,438.49730216,115,108.7454124,109,-677.48345317,7.2,3.51740213,Action,0.77413519,4.26563487
1986-12-07,111,1.14320589,110,118849402,113,0.04528687,437.14879047,106,108.87884147,108,-677.66263616,7.3,3.51720747,Drama,0.80366134,4.25954314
1987-08-21,111,1.14105332,120,120754859,111,0.2039092,435.70401628,111,108.1714248,109,-676.67482304,7.5,3.58057222,Drama,0.77862499,5.38832985
1987-11-22,105,1.13933314,118,157292882,116,0.04460208,438.61106297,105,108.79246606,104,-677.11861646,7.8,3.53971426,Action,0.75779993,5.2981139
1987-05-04,105,1.06193713,119,105573813,109,0.03876082,438.63232827,108,107.79246977,105,-702.12274285,7.1,3.51756487,Drama,0.71968326,5.21796756
1984-11-28,104,1.06386314,107,124191944,99,0.04417566,438.40567277,98,110.42793359,109,-677.89994613,7.5,3.63863225,Action,0.78226724,4.20735396
1988-07-28,103,1.14286341,118,157153795,116,0.21032492,434.99118547,111,108.91041842,105,-677.87020995,7.7,3.51730457,Drama,0.62878264,5.24152334
1991-04-21,104,1.06870567,111,121412972,106,0.20618329,439.84662231,101,107.18063088,107,-704.58976157,7.8,2.93828975,Drama,0.70111111,4.26536273
1988-06-04,107,1.11472973,117,158858824,105,0.21531964,435.77256384,101,108.75467193,109,-684.02773011,7.7,3.51655127,Drama,0.62606122,4.25299075
2002-11-08,108,1.06391289,121,110696037,98,0.04553962,439.66072972,116,108.74251454,107,-682.38395002,7.3,3.49118676,Drama,0.69610412,5.21166706
1996-05-22,104,1.06385618,106,163264462,110,0.04631636,438.51139858,103,109.46818403,110,-704.35608394,7.3,3.53138184,Action,0.73416512,4.39670168
1987-11-09,109,1.08301895,111,121475872,101,0.04569178,435.43413413,110,107.76071529,108,-690.64867528,7.2,3.48668744,Drama,0.81324567,5.32126309
1997-05-12,111,1.12569671,120,119616564,103,0.20978605,436.59675629,106,108.73976086,103,-699.73249046,7.8,3.51656435,Action,0.65259602,5.03738419
1993-05-20,108,1.06230977,106,151530319,111,0.20402893,436.18059291,107,108.34794682,105,-675.46160914,7.2,3.60421453,Action,0.80105298,4.2702508
1986-11-20,107,1.07489371,117,118740216,100,0.20979422,434.77220447,109,109.05306502,104,-704.55579878,7.8,3.40707436,Action,0.61826323,5.33098358
1987-07-13,108,1.07009671,115,138182962,101,0.06425512,439.07124263,104,108.83143639,103,-704.65078529,7.5,3.51688659,Drama,0.77897419,4.272145
1984-07-27,108,1.07278977,118,152550814,98,0.0405786,437.87946168,113,108.18126186,105,-677.23023312,7.2,3.39699324,Action,0.76118256,4.41324211
1995-12-20,110,1.06667684,117,105412260,108,0.04550528,437.78651618,102,107.6985886,109,-677.90199842,7.4,3.51737694,Action,0.77838182,4.24446375
1986-04-03,111,1.11020085,110,153565901,114,0.05200999,439.73297057,112,108.92356749,109,-695.56222544,7.6,2.98580502,Drama,0.63714934,4.22521741
1998-08-16,108,1.13746888,107,136618710,108,0.03943539,435.75376221,102,109.79997693,103,-684.42695884,7.8,3.51688269,Drama,0.71462403,5.32324944
1985-02-15,106,1.10002213,119,106444423,104,0.12134143,439.67433742,114,108.02318656,107,-681.5028443,7.0,3.25049752,Drama,0.76388424,4.66301544
1994-04-17,103,1.14870775,114,105320551,103,0.21654734,439.00332039,98,108.75235457,110,-677.58971291,7.4,3.12621725,Action,0.76318152,4.26265219
1991-05-28,110,1.06186245,107,122802718,101,0.20961237,439.69941293,105,108.62585926,109,-704.68182604,7.2,3.50968894,Action,0.78219585,4.24187718
1999-09-12,110,1.12028826,106,122456186,105,0.12216908,437.66881845,114,107.78293616,106,-676.55796341,7.3,3.51585322,Action,0.77389726,4.26874231
1994-12-07,104,1.11568275,110,120011723,116,0.14761903,439.0198997,105,108.20166047,106,-678.14796473,7.2,2.97708333,Drama,0.75356163,4.33974444
1992-04-02,105,1.14264912,114,135820279,103,0.04199247,438.80949441,110,108.64940383,104,-676.74072686,7.5,2.98288639,Action,0.7887287,4.67554394
1998-05-25,103,1.13600682,120,118984641,105,0.17701773,439.40200974,110,106.58108738,104,-675.4558226,7.0,2.880112,Drama,0.76007202,5.24826705
1999-10-08,104,1.08511597,108,110862863,115,0.04256622,437.90209824,102,107.76212821,111,-677.43504156,7.3,3.66711726,Action,0.61776965,4.26302659
1989-05-16,105,1.06340797,110,123385947,100,0.05999311,434.73854886,99,111.03613376,106,-676.08353689,7.2,3.6504038,Drama,0.80756695,4.26351191
1984-10-23,106,1.10496918,119,122819614,99,0.21547708,436.28839242,114,104.02554763,105,-676.78215499,7.7,3.58123396,Action,0.62419507,4.98770123
1988-05-02,103,1.14256111,112,124379250,113,0.08781254,435.22164528,103,108.76940861,109,-675.72576208,7.2,2.86954564,Drama,0.63450068,4.26899432
1988-11-23,111,1.12950354,118,141135226,115,0.05136561,439.40738338,110,109.75065814,103,-677.28500522,7.1,3.51665754,Drama,0.795066,4.27129659
2001-05-14,104,1.06295537,109,128965318,111,0.21514505,439.57144745,110,108.72287849,103,-675.74070489,7.7,3.51745767,Drama,0.62311728,4.22707399
1988-04-07,105,1.12493728,115,107315334,109,0.20350489,439.38862012,99,108.67466387,104,-704.6884841,7.6,3.51742427,Action,0.62626919,4.24778588
1993-02-02,108,1.0962147,119,163046937,109,0.04117919,438.48245288,99,108.15605316,111,-677.91380257,7.4,3.65075176,Action,0.79870829,4.27209492
1985-08-22,110,1.08674977,116,158042548,108,0.03969375,436.78283974,102,108.05775784,110,-704.71609911,7.2,3.14820801,Drama,0.62417367,4.78211293
1993-07-22,111,1.06901662,112,110960027,109,0.04303824,435.10322241,102,108.58067777,108,-693.95925287,7.6,3.49271999,Drama,0.80135065,4.2683313
1999-12-19,103,1.11508481,112,112833369,102,0.20924971,437.02703796,113,110.95130412,111,-676.75682947,7.8,3.57204399,Drama,0.61914905,5.20380162
2000-08-27,111,1.09974145,118,118530092,107,0.08202666,434.48500705,110,104.19229957,111,-677.77060709,7.7,3.45034341,Drama,0.76181025,5.40921082
1984-12-23,107,1.13526101,110,115707321,116,0.20618335,437.70392249,98,109.52941452,111,-684.05893258,7.1,3.5852507,Drama,0.80706153,4.80982538
1987-09-26,106,1.11425745,110,119678957,98,0.20312278,437.6874538,113,108.83571591,109,-689.87043595,7.3,3.49614368,Action,0.7567253,4.26374432
2000-03-12,104,1.10576505,108,110367682,109,0.21475262,436.0678981,116,111.10128369,111,-675.42142221,7.1,3.57517952,Action,0.82109012,4.29098843
1985-05-20,103,1.06411397,106,113937287,102,0.21366691,439.99913781,100,111.07619029,104,-675.28774256,7.4,3.51702816,Drama,0.7966686,4.7507252
1991-07-06,107,1.11464479,115,152123440,105,0.21630631,435.18821973,110,108.59210994,105,-677.40442853,7.7,3.47953727,Drama,0.80635534,4.50441747
2001-08-15,105,1.14887028,117,116898944,103,0.20399972,435.68084649,112,109.28214491,111,-682.39351884,7.4,3.09831904,Drama,0.77051356,4.86625023
1996-07-14,103,1.09120351,112,116043840,113,0.04691801,439.16142654,113,109.81414555,111,-695.17395667,7.4,3.49757398,Action,0.69568483,4.24760218
1992-12-26,108,1.09981701,115,133761529,99,0.20595212,439.0178013,111,108.58901659,107,-675.40849764,7.6,3.00857282,Action,0.77941365,5.22220973
1985-09-28,105,1.14758798,107,139418388,110,0.21630711,435.35791796,100,110.53247108,109,-704.52618571,7.2,2.86668759,Drama,0.63086514,4.43939672
1995-04-07,108,1.14120652,116,121343103,112,0.21578541,439.65293686,110,109.48784203,108,-677.83658746,7.7,3.48905459,Drama,0.75620182,4.26605166
1994-09-03,103,1.13717168,118,154684745,106,0.04912092,435.83399973,107,108.70937645,105,-677.12143273,7.2,3.51629549,Drama,0.7050625,4.26439835
1999-05-01,109,1.10799023,111,123215856,112,0.20849788,437.85001402,106,110.43344721,103,-675.4640006,7.2,3.42716666,Action,0.67625235,4.26333843
1987-02-05,109,1.14386292,112,134066887,107,0.05187888,437.02329768,102,108.90739932,104,-685.43849241,7.0,3.49930424,Action,0.63106225,5.28042463
1987-02-09,107,1.06173501,107,109011863,101,0.04830737,438.08696073,105,108.92994782,104,-699.13598992,7.6,3.52128257,Drama,0.61854861,4.5740702
1985-12-08,105,1.09811977,108,118569358,110,0.05091082,437.81542308,106,109.76365045,111,-675.74908967,7.7,2.86335236,Action,0.81319016,4.76782828
1989-08-22,105,1.13459184,109,120470524,107,0.2165968,435.30380882,117,108.10215197,105,-687.67461587,7.2,2.97663185,Drama,0.79182718,4.26534511
1987-06-15,107,1.10442398,118,132947826,108,0.21536774,436.7484535,103,104.89642459,106,-679.22814512,7.0,3.32756426,Drama,0.62072287,4.24577395
1997-12-28,110,1.14742377,106,114745360,103,0.20388109,434.33231166,105,108.17917471,105,-676.43380994,7.2,3.52528612,Action,0.82184428,4.66090276
1988-04-20,105,1.11774194,112,150816340,111,0.20490095,439.7736716,114,109.23770734,104,-704.54094224,7.0,3.51748873,Action,0.76733909,4.24598923
1990-09-07,103,1.09077737,108,116429032,100,0.20988001,438.90865105,107,108.25335635,108,-678.95003995,7.5,3.50730023,Drama,0.75638925,4.83514063
2000-03-23,111,1.13070282,120,116571394,109,0.03889225,438.62936698,112,108.62125022,103,-677.62820379,7.5,3.51646728,Action,0.77425205,4.26948528
1991-05-23,108,1.13775119,120,123022396,99,0.20456124,438.53966988,100,108.74419753,104,-677.27529231,7.0,3.51686454,Drama,0.75859771,5.2970433
1994-11-09,103,1.1177735,116,156916796,99,0.04710409,438.01194253,100,109.31091874,106,-678.74113217,7.5,3.62218112,Drama,0.78314854,5.30982953
1987-08-15,107,1.06326406,108,119039353,114,0.21279702,439.07822436,101,109.07181573,110,-675.90789449,7.5,3.54087384,Action,0.80791517,5.34201195
1992-09-04,103,1.14858791,114,147590040,109,0.2174781,439.21657491,111,110.51083405,107,-678.41052314,7.7,3.51629787,Drama,0.63340273,4.97020659
1998-12-03,110,1.09860133,107,154378167,107,0.2046242,435.97877564,110,108.9416575,110,-703.40802448,7.8,3.48248842,Action,0.77329613,4.27231113
